article_text,category
"ST. PETERSBURG, Russia — For a few days at least, profits seem to be trumping politics in Russia.On Thursday, Kremlin officials proclaimed their success in wooing at least 24 chief executives to attend an economic conference here, some arrived despite objections of their home governments.The three-day event, which runs through June 20, also drew Greece’s prime minister, Alexis Tsipras, who had been talking to the Russian gas company Gazprom about pipeline deals to lift revenue for his debt-ridden country. Mr. Tsipras was expected to speak at the business gathering on Friday.Last year, American and some European chief executives largely boycotted the event, the St. Petersburg International Economic Forum. Showing up is not illegal under European Union rules and American sanctions imposed on Russia for annexing Crimea and supporting rebels in eastern Ukraine, but the White House has discouraged attendance.“Through our combined sanctions, restrictive measures and reduced diplomatic engagement, we have sent a clear signal to Russia’s leadership that we will not return to ‘business as usual,’ ” said a statement from United States government. “We have communicated our position to the U.S. business community in multiple fora.”",business
"The last American women’s team to win the World Cup was the 1999 team, which defined a remarkable era of women’s sports in the United States and embodied the success of Title IX. For an entire generation, it defined what women’s sports should be and could be.At that World Cup final, the Rose Bowl was packed with 90,000-plus fans. About 40 million Americans tuned in. Brandi Chastain scored the winning goal on a penalty kick and ripped off her jersey and flexed — an image of girl power that resonated around the world.Slide ShowMidfielder Megan Rapinoe said that, at times, she wished that today’s American team wasn’t constantly measured against that 1999 team. It’s partly why this squad wants to win this championship so much, she said.“If we win this, then everybody can stop comparing us,” she said. “We’re not them. But we’re here because of them.”This whole month during the World Cup, though, it has been hard to shake them. The 1999 team has been everywhere. Julie Foudy, a former midfielder, is an ESPN analyst for the World Cup. Tony DiCicco, the 1999 team coach, is calling the games on Fox Sports, many times criticizing Coach Jill Ellis as he offers how he would do things.An ESPN documentary called “The 99ers” has been aired at least a half-dozen times, as far as I can count. On the day of one recent showing, Foudy posted on Twitter about her memories of the World Cup victory, with the ’99 goalkeeper Briana Scurry and Kate Markgraf (the former Kate Sobrero) chiming in about how wonderful it was to win back then.“Um, we’d make a good documentary, too,” Krieger said with a laugh.Don’t get them wrong — these ’15ers on the field for the United States appreciate all that the ’99ers have done for women’s sports and soccer in America. But if they don’t win the final on Sunday — in which they will play either England or Japan — it will be four more years of waiting and wondering if they can ever live up to a nearly unattainable standard set by pioneers.Advertisement Continue reading the main storyIf the Americans lose on Sunday, by the next World Cup it will be 20 years since the United States team’s last title in the tournament. It’s not exactly the Cubs’ drought in the World Series. In some ways, it’s worse.Because the longer the United States takes to win another World Cup, the more the pressure to win it will grow and the holier the 1999 team will become, which seems impossible because those ’99ers were beatified as soon as Chastain nailed that final penalty kick.PhotoBut today’s team will remind you, albeit very gently, that winning the World Cup is not as easy as it was 16 years ago.“The game has changed,” Krieger said. “Other countries have caught up.”In 1999, there were 16 teams in the World Cup, expanded from 12 in the previous tournament. Now there are 24, with improved teams like England, which has made the semifinals.Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You will receive emails containing news content , updates and promotions from The New York Times. You may opt-out at any time. You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.Keep in mind that winning in 1999 wasn’t that easy, either.The 1999 squad did not crush the competition. It came down to penalty kicks, and if China ’s Liu Ying didn’t aim for the right corner of the net, and if Scurry didn’t leap in that direction to bat the ball away, it would be Chinese players, not these Americans, who might be talking about the looming legacy of the ’99ers.Just like that, the myth of the American ’99ers never happens.Then, maybe, this United States team wouldn’t be here, as Rapinoe said. And then these Americans wouldn’t have had the chance to make it to the quarterfinals and to the semifinals, where they played more freely and with more fire, pushing forward, just like the ’99ers did.On Tuesday, as the giant scoreboard here at Olympic Stadium read, 2-0, the Americans celebrated by leaping atop each other in a big pile and pumped their fists and hugged each other and played to the crowd by raising their hands to encourage more cheers. It was as if they had won it all. But there is one more game to go.One more game until they can step out of the ’99ers’ shadow and — finally — into their own sun.“We didn’t come here just to make the final,” said midfielder Carli Lloyd, who scored on Tuesday. “We came here to win it.”She added, “I’m feeling very confident that we will win it.”",sports
"‘The Best of Egg the Arts Show’ (Tuesday) IFC Center’s Stranger Than Fiction documentary series takes an unexpected detour into TV land with this retrospective of the much-missed PBS documentary series, which tackled some delightfully outré topics (The Times’s Michael Kimmelman on conceptual art, Reverend Billy’s anticorporate performances, even a master bow maker as he works with a Cleveland Orchestra violinist) from 2000 to 2003. The lineup is still being finalized, but at least for one night, culture vultures needn’t flip to their PBS station at 2:30 a.m. with their fingers crossed. The show’s creators, Jeff Folmsbee and Mark Mannucci, will take part in a Q. and A. after the screening. At 8 p.m., 323 Avenue of the Americas, at Third Street, Greenwich Village, 212-924-7771, ifccenter.com. (Grode)Cronenberg (through Feb. 22) This tribute to David Cronenberg, Canada’s reigning master of the disquieting, promises to do a number on what is already a short night’s sleep. (The films screen at midnight each weekend.) Even Mr. Cronenberg’s recent swerves into studio fare (“A History of Violence,” “Eastern Promises”) have shed surprisingly little of the perverse ambition that spurred him to tackle such seemingly unfilmable adaptations as “Naked Lunch” and “Crash.” Midnight staples like “Scanners” and “Videodrome” are obvious choices, and his 1986 remake of “The Fly” remains an unsurpassed combination of the romantic and the repulsive. The retrospective culminates with a screening of his latest film, “Maps to the Stars,” and the upstairs hallway will feature a collection of Mr. Cronenberg’s international movie posters throughout the run, including a doozy of a “Naked Lunch” poster from Japan. 323 Avenue of the Americas, at Third Street, Greenwich Village, 212-924-7771, ifccenter.com. (Grode)‘The Grand Budapest Hotel’ (Thursday) When Matt Zoller Seitz finished his wonderful book-length exploration of Wes Anderson’s films, this melancholy masterpiece — currently nominated for nine Academy Awards — had not yet come out. So Mr. Seitz’s publisher took the unusual step of commissioning a slim follow-up volume devoted to it and only it. Will each of Mr. Anderson’s films get the same treatment? You can ask Mr. Seitz when he introduces the film to kick off Nitehawk Cinema’s new Booze & Books series. It will continue Feb. 24 with a screening of Robert Altman’s “3 Women,” introduced by the authors of the authorized visual biography “Altman.” 136 Metropolitan Avenue, Williamsburg, Brooklyn, 718-384-3980, nitehawkcinema.com. (Grode)John Carpenter: Master of Fear (through Feb. 22) Jonathan Lethem was asked a few years ago to write a book-length essay on any film he wanted, as long as he went “off-canon.” He chose “They Live,” John Carpenter’s whacked-out parable of Reagan-era conformity, with its six-minute fistfight and ambling, blues-tinged soundtrack. That score was composed by Mr. Carpenter, who did similar double duty on the pioneering horror film “Halloween,” the still harrowing “Assault on Precinct 13” and nearly every other one of his films. (His first solo album, “Lost Themes,” was released on Feb. 3.) BAMcinématek’s retrospective is being billed as complete, which means you can expect several other high points of Mr. Carpenter’s career (including the spectacularly grisly remake of “The Thing” and the atypically gentle “Starman”) alongside the likes of “Ghosts of Mars.” BAM Rose Cinemas, 30 Lafayette Avenue, at Ashland Place, Fort Greene, 718-636-4100, bam.org. (Grode)Charles Laughton (through Feb. 26) Captain Bligh, Quasimodo, Javert, Henry VIII: Nobody ever accused Charles Laughton of playing it safe in his acting choices. But wry character roles suited him just as well, as evidenced by Film Forum’s retrospective of the man Daniel Day-Lewis once described as his era’s greatest film actor. All of his prestige pictures will be screened, along with the lurid H.G. Wells adaptation “Island of Lost Souls” and a film that Laughton directed, the unforgettable “The Night of the Hunter.” There’s also “The Epic That Never Was,” a documentary about the larger-than-life Laughton protagonist that got away: the Roman emperor Claudius, in an unfinished 1937 Josef von Sternberg film. 209 West Houston Street, west of Avenue of the Americas, South Village, 212-727-8110, filmforum.org. (Grode)See It Big! Gordon Willis (through March 1) This master cinematographer (1931-2014) may have worked his contrast-heavy magic on Staten Island (“The Godfather”), Brooklyn (“The Landlord”) and Manhattan (“Manhattan”), but he was born in Astoria, Queens. Those films will be shown at the Museum of the Moving Image in Astoria, along with “Annie Hall,” “All the President’s Men” and more than a dozen other films. Willis’s parents were Broadway dancers, which makes the series’s final film, the gimlet-eyed musical “Pennies From Heaven,” a particularly apt coda to a thoroughly exciting tribute. “Pennies” may be set in Chicago, but Willis found room in it for tableaux vivants of New York paintings by Edward Hopper and Reginald Marsh. Willis once said of Hollywood, “I don’t think it suffers from an overabundance of good taste.” For almost 30 years, he did what he could to fix that. 35th Avenue at 37th Street, Astoria, Queens, 718-784-0077, movingimage.us. (Grode)Tell It Like It Is: Black Independents in New York, 1968-1986 (through Thursday) Spike Lee’s emergence in 1986 with “She’s Gotta Have It” was billed as an out-of-nowhere debut, signaling a new chapter in black filmmaking in New York City. This Film Society of Lincoln Center series shows just how fertile the environment had in fact become for Mr. Lee over the previous two decades, thanks to the efforts of theater notables (Woodie King Jr., Amiri Baraka), experimental-film pioneers (William Greaves, whose 1968 docufiction film, “Symbiopsychotaxiplasm: Take One,” legitimately was and is out of nowhere) and a remarkable number of black women directors (Jessie Maple, Kathleen Collins). Of particular note is Bill Gunn’s allegorical vampire film, “Ganja & Hess,” which Mr. Lee has remade as “Da Sweet Blood of Jesus,” which opens this Friday. Elinor Bunin Munroe Film Center, 144 West 65th Street, and Walter Reade Theater, 165 West 65th Street; 212-875-5601, filmlinc.com. (Grode)",movies
"WASHINGTON — Small-business owners in the United States gained confidence in April and were surprisingly bullish about capital expenditure plans, further supporting views that economic growth is rebounding after a dismal first quarter.The Labor Department also reported on Tuesday that job openings fell in March.The National Federation of Independent Business said on Tuesday that its Small Business Optimism Index rose 1.7 points to 96.9 last month. It was the largest gain since December.Small businesses historically have accounted for half of private gross domestic product.The economy is clawing back after being hit by a mix of bad weather, disruptions at ports, a strong dollar and deep spending cuts by energy companies.Data on employment and consumer sentiment have suggested a pickup in growth momentum at the start of the second quarter, but the dollar and lower oil prices continue to weigh on manufacturing.",business
"After the Rockets beat the Warriors in Game 4 on Monday night in Houston, the team urged fans to stay in their seats to wait out the torrential rainstorms and flooding going on outside. Although many fans left, others played it safe and hung around, as did the Rockets star Dwight Howard.“I don’t think it’s smart for anybody to try to be out in this weather,” he told The Houston Chronicle.It is not uncommon for Mother Nature to get in the way of sports. Baseball, of course, is the most vulnerable, as a spring shower may be enough for a delay or postponement.Football prides itself on a hardier nature, but there have been times when conditions have been too rough even for the men of the gridiron. Sometimes it takes a hurricane.",sports
"Pedestrians jam the Rue Vieille du Temple, a main drag that once led to the Templar fortress, to ogle handbags in two Chanel pop-up stores that opened in a 17th-century mansion, the Hôtel Amelot de Bisseuil. At the entrance, ancient wood doors carved with Medusa masks have been updated with cherry-red lacquer. Rainbow-hued shoe and watch shops jostle with chocolatiers and boutiques offering $120 perfumed candles. Farther north, the Haut Marais is honeycombed with galleries, from the hip-hop displays at the Galerie Perrotin to the open space of the Galerie Thaddaeus Ropac.While the makeover of the Marais has drawn big business, the change hasn’t been lost on its residents. Butchers, bakers and tailors have been replaced almost entirely by chain boutiques. Near the Rue des Rosiers, the gentrified Jewish district where boutiques are overtaking Judaica shops and delis, an Izod Lacoste store stands in a former boulangerie: The buzz was that the company offered madame, the owner, a sum that allowed her to retire immediately.The Marais is hardly the only area of Paris facing change. Today, the city is in the midst of an ambitious expansion project called Le Grand Paris, which aims to enlarge Paris’s boundaries by stitching its core to the banlieues — the neglected outer suburbs — with a new transport system. Major roads, including parts of the Rue de Rivoli, the quarter’s main thoroughfare, may eventually close to traffic to make the center pedestrian and environmentally friendly. Pioneering architecture, like the glass canopy at Les Halles and the bubble curves of the Fondation Louis Vuitton, keeps transforming the cityscape.For the Marais, the crowds testify to a rebirth. The first Golden Age came in the early 17th century, nearly 500 years after the Templars cleared vast marshland — or marais, in French — to enlarge their domain. When King Henry IV set up at what is now the Place des Vosges in 1604, the aristocracy followed, building the sumptuous mansions that imbue the area with glamour today. After the French court later moved to the Tuileries Palace, the Marais deteriorated for nearly two centuries and was almost razed until the government protected it in 1964.It is these traces of history that I follow on my walks, dipping in and out of the quarter’s ancient charms, perhaps pausing for a glass of wine, handcrafted tea or a raspberry meringue at a clutch of mod cafes and pâtisseries that have followed the retail influx.",business
"Now Albright, a 62-year-old retired machinist, did the only thing he could think of to keep everyone safe: He canceled the season’s remaining four games. Two days after the bullets were found, he received a threatening letter at home.“Why would someone do that?” he said last week of the threat. “How could they do that, take their anger to another level? I have no idea, I really don’t. This league is for the kids. Always has been. But someone did something crazy to ruin it. It’s devastated everybody.”Nothing ruins youth sports like adults acting crazy. But, sadly, it’s nothing new: Somebody did not like the league’s rules or the officiating or the fact that his or her child was not a star, and so out came the threats, or the fists, or, in this extreme case, an entirely different level of crazy.And now, in this rural area of rolling hills and farmland about 45 miles southeast of Pittsburgh — a hunting community where camouflage counts as casual wear and a barbershop keeps copies of magazines like Bowhunter and North American Whitetail in the waiting area — you’ve got people running for cover.The football community here is embarrassed about all this. The families, the players and the residents I spoke with last week are still asking how this could happen in a place where everybody knows everybody and where the league — run and coached by volunteers, and drawing boys and girls ages 6 to 14 from five area towns — has thrived since 1965. This year’s 50th-anniversary program is nearly 130 pages, for goodness’ sake, and much of the league’s history can be read on a giant sign surrounded by a white picket fence in the stadium. On it are the names of past league champions and the names of every coach of every team that has been part of the program.",sports
"The 10 best selling sports books in June 2014, according to The New York Times Best Sellers List.1 THE CLOSER, by Mariano Rivera with Wayne Coffey. (Little, Brown) A memoir by the great Yankees pitcher.2 TIGER, MEET MY SISTER, by Rick Reilly. (Blue Rider Press) A compilation of the sportswriter’s columns from his last five years with ESPN.3 MICHAEL JORDAN: THE LIFE, by Roland Lazenby. (Little, Brown) A biography of the famous basketball player.4 WHEN THE GAME WAS OURS, by Larry Bird, Earvin “Magic” Johnson and Jackie MacMullan. (Houghton Mifflin Harcourt) The psychological sparks that compelled two of the N.B.A.'s greatest players to compete at their utmost capacities on opposing sides of the court.",sports
"It has, which suggests that ESPN might be very indulgent if The Undefeated is not an advertising or audience magnet. To do what Whitlock could not, ESPN hired Merida, a calm, experienced leader who was the first African-American managing editor at The Washington Post. But ESPN retained The Undefeated name, which comes from a quotation by Maya Angelou, and its original mission to be a prominent voice on race.“Race is the subject of our time,” Merida said, when asked why he wanted to tackle the subject. “We can’t escape it. I wouldn’t be here if I didn’t have that confidence.”Describing his desire for the site to be “unapologetic and brave,” he added: “I will be fearless but not reckless. We want to be smart and cool. We want to be a thought leader.”At one point during the gathering, Marie Donoghue, the ESPN executive vice president who oversees The Undefeated, looked at Merida and said, “This is my most successful deal ever — to bring Kevin over here.”Donoghue’s trust in Merida underscores how much ESPN believes in his ability to produce a compelling and, more important, enduring site that will be original, independent and complementary to ESPN’s television programming and digital properties like espn.com.Merida’s success will rest on people embracing a site that is far more ruminative than espn.com, which is packed with scores, game stories, analysis and highlights — as well as narrative journalism. He wants people talking about it in his barbershop — and many other places, virtual or otherwise. “And if they’re on Snapchat or Twitter,” he said, “I’d want The Undefeated’s work to find them.”Donoghue added: “We want to engage an audience that finds something we’re not currently offering at ESPN.”",sports
"To the Editor:Mr. Obama has said that Britain must stay in the European Union to have influence on the world stage, and on his current visit here has already encouraged Britain’s voters to stay in the European Union. Perhaps it has not occurred to him that this is equivalent to King George III and his ministers in the 18th century advising Britain’s American colonists that they must stay in the British Empire to have any influence in the world.The reality is that Britain has negligible influence in the European Union although being the second largest net contributor to it. We have under 10 percent of the total votes in the European Parliament and are constantly outvoted while also having only one European commissioner out of 28. At least 50 percent of our laws and regulations that override the laws of our own Parliament are made by some 25,000 European civil servants in Brussels. Their declared intention is to create a fully federal and centralized Europe, and the next step is to make every E.U. country’s finance minister submit his or her government’s budget to an E.U. financial controller for approval, thus removing the main remaining vestige of national sovereignty from the member states.Would the United States submit to such conditions? The reaction to Mr. Obama’s intervention is likely to be the same as that of Americans if our prime minister made a special visit to Washington or New York to advise the American people on how to vote in their presidential election.NOEL BAPTISTEIlford-on-Sea, England",business
"You can’t go wrong with a retrospective of Ernst Lubitsch, whose movies still sparkle with urbanity and sly wit. Film Forum serves up a feast of them beginning Friday, June 2, in “The Lubitsch Touch,” which commemorates the 125th anniversary of his birth. The program, which runs through June 15, features 31 films, an array that demonstrates versatility and adaptability. Lubitsch, who died in 1947, began directing in the silent era but transitioned with apparent ease into talkies. For a sample of his style, you can’t do better than the 1940 comedy “The Shop Around the Corner” (showing June 3).It stars James Stewart and Margaret Sullavan as shop employees who dislike each other but don’t realize they’ve been corresponding anonymously and flirtatiously. In the land of Lubitsch, jokes are slipped in subtly.“How much is that belt in the window, the one that says $2.95?” a customer asks.“$2.95,” Stewart’s character replies, somewhat baffled.“Oh,” she says disapprovingly. “No.” And she walks out.",movies
"PhotoGolf holes the size of pizzas? Bigger courts and four-point shots in basketball? Two-hand touch instead of tackle football? Tradition and history play an important role in sports, but like anything else, games evolve to keep up with changing times.What rules would you like to see changed in your favorite sports?In the article “In a Hole, Golf Considers Digging a Wider One,” Bill Pennington writes about how some golf leaders want to shake up the sport to attract a younger generation:Golf holes the size of pizzas. Soccer balls on the back nine. A mulligan on every hole. These are some of the measures — some would say gimmicks — that golf courses across the country have experimented with to stop people from quitting the game. Golf has always reveled in its standards and rich tradition. But increasingly a victim of its own image and hidebound ways, golf has lost five million players in the last decade, according to the National Golf Foundation, with 20 percent of the existing 25 million golfers apt to quit in the next few years. People under 35 have especially spurned the game, saying it takes too long to play, is too difficult to learn and has too many tiresome rules. Many of golf’s leaders are so convinced the sport is in danger of following the baby boomer generation into the grave that an internal rebellion has led to alternative forms of golf with new equipment, new rules and radical changes to courses. The goal is to alter the game’s reputation in order to recruit lapsed golfers and a younger demographic.Students: Read the entire article, then tell us …— Is there anything about your favorite sports that bothers you? Why?— Would you want to make a sport more fast-paced for a new generation? Would you try to make it safer or easier?— What sports rules would you like to see changed?Students 13 and older are invited to comment below. Please use only your first name. For privacy policy reasons, we will not publish student comments that include a last name.",sports
"Americans have grown accustomed to observing female leaders elsewhere, including Margaret Thatcher and Theresa May in Britain, and Angela Merkel in Germany. At home, the Democratic pollster Peter Hart said, the rise of some women to the top of major corporations smoothed a path for voters to envision a woman in the Oval Office.“There is much greater acceptance of women being able to be seen in that commander-in-chief role,” Mr. Hart said. He advised the 1984 presidential campaign of Walter Mondale, who picked Mrs. Ferraro as his running mate.Mrs. Ferraro, then in her sixth year in the House of Representatives, didn’t shrink from the “let me help you” barb in her debate. “I almost resent, Vice President Bush, your patronizing attitude that you have to teach me about foreign policy,” she shot back.Mrs. Clinton need not fear that line of argument. In the poll Mr. Hart helps conduct for NBC News and The Wall Street Journal, voters last month preferred her over Mr. Trump by 26 percentage points on conducting foreign policy, 18 points on handling a crisis, and 11 points on serving as commander in chief.Nor does Mrs. Clinton, whose truthfulness was called into question most recently over her use of a private email server while she was secretary of state, benefit from any presumption of honesty. Just 22 percent of voters in the NBC-Wall Street Journal poll rated her highly as “honest and straightforward,” the sort of finding that Mr. Trump has worked to exploit by frequently referring to her as “Crooked Hillary.”Mr. Trump has also sought to attack Mrs. Clinton by suggesting that the success of her campaign is rooted almost entirely in her gender.“If Hillary Clinton were a man, I don’t think she’d get 5 percent of the vote,” he said last spring. “The only thing she’s got going is the women’s card.”",politics
"A guide to movies playing at theaters in the New York City area, as well as select festivals and film series. A complete list of new releases is at nytimes.com/intheaters.Ratings and running times are in parentheses; foreign films have English subtitles. Full reviews of all current releases: nytimes.com/movies.‘Alice Through the Looking Glass’ (PG, 1:48) The best, and maybe the only, way to appreciate “Alice Through the Looking Glass” is to surrender to its mad digital excess and be whirled around through time and space in a world of grotesque overabundance. This sequel to Tim Burton’s “Alice in Wonderland” is so cluttered with an unwieldy mixture of Victoriana and digital gadgetry that every nook and cranny is crammed with stuff. There’s more to gape at than the eye can take in. Otherwise the movie, with its stale inspirational clichés, is a dud. (Stephen Holden)‘The Angry Birds Movie’ (PG, 1:37) A superficially amiable ball of fluff based on the spectacularly popular video game. Jason Sudeikis gives voice to an irritable red bird who’s suspicious when his homeland is visited by some cheery green pigs. Slapstick, body humor and unsettling possible allegories ensue. (Glenn Kenny)",movies
"Joe Nocera is the new sports business columnist for The New York Times.I wrote my first article for The New York Times about the N.C.A.A. four years ago. Appearing in the magazine, it was headlined “Let’s Start Paying College Athletes.” Although I had been a college basketball fan all my life, I had never paid much attention to the inner workings of the N.C.A.A. But my research woke me up to the inequities faced by college football and men’s basketball players, and compelled me to begin writing regularly about how the N.C.A.A. and the college sports establishment exploit the players who generate the billions that the grown-ups pocket.The conceit for the original article was to imagine that the N.C.A.A.’s “amateurism” model — which, of course, enables that exploitation — had magically disappeared, finally allowing athletes to be paid. My charge was to devise a scheme that would divert some revenue to them without bankrupting university athletic departments or destroying the fabric of college sports. What I came up with was a system that revolved around a salary cap. It also had a handful of other facets, which I’ll get to shortly.Although the N.C.A.A. had its critics four years ago, they were neither as numerous nor as visible as they are today. The O’Bannon lawsuit against the N.C.A.A. was years from being adjudicated. The college sports reform movement hadn’t yet coalesced. The most prominent voice then calling for players to be paid was Taylor Branch, who had published a seminal article, “The Shame of College Sports,” in The Atlantic just a few months before my piece in The Times Magazine.Over the next few years, however, the N.C.A.A.’s issues became part of the zeitgeist. As that happened, a raging debate developed about whether — and how — to pay the players. The ESPN college basketball analyst Jay Bilas, for instance, advocates a free-market approach, saying that athletes should reap whatever the market will bear. Others promote the so-called Olympic model, in which players would generate income from endorsements, autographs, jobs, and control of their image and likeness.",business
"Pittsburgh — AMERICAN children have been bad at math for well over a century now. As early as 1895, educational reformers lamented Americans’ “meager results” in the subject. Over the years, critics of math education in this country have cycled through a set of familiar culprits, blaming inadequate teacher training, lackluster student motivation and faulty curricular design. Today’s debates over the Common Core mathematical standards are just the latest iteration of this dispute.Although these issues are important — no reform can ever succeed without considering teacher training and textbook design — resolving them will never make the underlying question of how to teach math “go away.” This is because debates about learning mathematics are debates about how educated citizens should think generally. Whether it is taught as a collection of facts, as a set of problem-solving heuristics or as a model of logical deduction, learning math counts as learning to reason. That is, in effect, a political matter, and therefore inherently contestable. Reasonable people can and will disagree about it.Perhaps no reform has illustrated this point as clearly as the wide range of mid-20th-century curricular changes known as the new math. Many of these reforms promised that the introduction of sets, nondecimal bases and formal definitions would lead students to think of math as more than just a bunch of dusty facts: It was a powerful and rigorous way of approaching complex problems.The new math was widely praised at first as a model bipartisan reform effort. It was developed in the 1950s as part of the “Cold War of the classrooms,” and the resulting textbooks were most widely disseminated in the 1960s, with liberals and academic elites promoting it as a central component of education for the modern world. The United States Chamber of Commerce and political conservatives also praised federal support of curriculum reforms like the new math, in part because these reforms were led by mathematicians, not so-called progressive educators.",politics
